Timestamp,SourceIP,DestinationIP,Length,SourcePort,DestinationPort
14:50:19.633264,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.633356,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.633668,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.633747,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.639429,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.63985,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.639944,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.640319,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.640421,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.64081,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.641311,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.64139,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.647012,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.647712,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.647823,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.648352,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.648449,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.653505,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.654349,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.654526,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.654973,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.655101,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.661561,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.662187,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.662225,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.668222,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.669084,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.669591,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.669877,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.669912,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.670358,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.670411,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.673152,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.674934,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.67497,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.674934,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.681112,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.681112,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.681185,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.681476,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.681494,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.685923,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.687062,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.687099,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.687674,115.113.240.203,10.0.2.15,1514,443,41438
14:50:19.687774,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.687791,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.691392,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.692165,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.692281,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.692725,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.692848,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.699647,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.700881,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.701252,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.701684,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.701713,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.70673,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.70673,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.70681,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.706845,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.712001,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.712001,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.712114,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.712145,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.712182,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.717517,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.718091,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.719426,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.719457,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.719662,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.723672,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.724413,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.724579,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.725068,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.725097,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.729894,115.113.240.203,10.0.2.15,590,443,41438
14:50:19.729895,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.730027,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.738136,115.113.240.203,10.0.2.15,1126,443,41438
14:50:19.738137,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.738249,115.113.240.203,10.0.2.15,1600,443,41438
14:50:19.738937,10.0.2.15,115.113.240.203,54,41438,443
14:50:19.742526,115.113.240.203,10.0.2.15,590,443,41438
