SequenceNumber,RequestTime,ReplyTime,RequestSourceIP,RequestDestIP,ReplySourceIP,ReplyDestIP,ReplyTTLexpiredIP,TTL,Download/Upload/Idle
4001,21:22:57.745784,21:22:57.873496,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,upload
4285,21:23:12.835512,21:23:12.86102,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4329,21:23:14.416008,21:23:14.41803,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3954,21:22:55.423041,21:22:55.473347,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4267,21:23:12.245118,21:23:12.247142,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4010,21:22:58.29232,21:22:58.361875,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4342,21:23:14.767351,21:23:14.802179,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
3864,21:22:51.093842,21:22:51.11445,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
3882,21:22:51.950978,21:22:51.972871,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
4090,21:23:04.554734,21:23:04.723861,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,upload
4371,21:23:15.740606,21:23:15.744743,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
3778,21:22:47.05759,21:22:47.117694,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
4087,21:23:04.390596,21:23:04.485611,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4194,21:23:09.844042,21:23:09.84756,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4209,21:23:10.394547,21:23:10.413057,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4046,21:23:01.216428,21:23:01.492357,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4151,21:23:08.44059,21:23:08.456586,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4274,21:23:12.564813,21:23:12.570582,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4338,21:23:14.697721,21:23:14.705513,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4196,21:23:09.944849,21:23:09.954934,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
3851,21:22:50.421014,21:22:50.527931,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,download
3868,21:22:51.337338,21:22:51.533472,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
4344,21:23:14.880736,21:23:14.978039,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4372,21:23:15.877066,21:23:15.898735,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
4175,21:23:09.259015,21:23:09.261342,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4308,21:23:13.655564,21:23:13.658493,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4097,21:23:05.428454,21:23:05.579716,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4104,21:23:05.836941,21:23:05.948038,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,upload
4256,21:23:11.946845,21:23:11.949524,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
3801,21:22:48.002085,21:22:48.066111,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
3902,21:22:53.046785,21:22:53.113765,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,download
4169,21:23:09.04765,21:23:09.049608,10.184.49.202,115.113.240.216,10.255.107.3,10.184.49.202,10.255.107.3,2,idle
4239,21:23:11.34039,21:23:11.341987,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,idle
4333,21:23:14.493822,21:23:14.534251,10.184.49.202,115.113.240.216,10.184.32.13,10.184.49.202,10.184.32.13,1,idle
3994,21:22:57.357482,21:22:57.363054,10.184.49.202,115.113.240.216,10.119.233.65,10.184.49.202,10.119.233.65,3,download
