Timestamp,SourceIP,DestinationIP,Length,SourcePort,DestinationPort
18:24:12.444323,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.444421,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.444421,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.444421,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.444731,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.444731,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.444731,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.444731,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.446421,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.446439,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.446443,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.446446,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.446449,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.446452,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.446455,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.446894,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.446894,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.447007,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.447007,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.449435,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.449463,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.449477,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.449493,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.451635,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.451712,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.452333,115.113.240.229,10.0.2.15,590,443,58992
18:24:12.452333,115.113.240.229,10.0.2.15,1126,443,58992
18:24:12.452505,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.4527,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.452728,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.4527,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.452778,10.0.2.15,115.113.240.229,54,58992,443
18:24:12.4527,115.113.240.229,10.0.2.15,1600,443,58992
18:24:12.452833,10.0.2.15,115.113.240.229,54,58992,443
